x,chi
3.680000e+01,2.437500e-02
3.685000e+01,2.439500e-02
3.690000e+01,2.441400e-02
3.695000e+01,2.443400e-02
3.700000e+01,2.445300e-02
3.705000e+01,2.447300e-02
3.710000e+01,2.449200e-02
3.715000e+01,2.451200e-02
3.720000e+01,2.453100e-02
3.725000e+01,2.455100e-02
3.730000e+01,2.457000e-02
3.735000e+01,2.459000e-02
3.740000e+01,2.460900e-02
3.745000e+01,2.462900e-02
3.750000e+01,2.464800e-02
3.755000e+01,2.466800e-02
3.760000e+01,2.468700e-02
3.765000e+01,2.470700e-02
3.770000e+01,2.472700e-02
3.775000e+01,2.474600e-02
3.780000e+01,2.476600e-02
3.785000e+01,2.478500e-02
3.790000e+01,2.480500e-02
3.795000e+01,2.482400e-02
3.800000e+01,2.484400e-02
3.805000e+01,2.486300e-02
3.810000e+01,2.488300e-02
3.815000e+01,2.490200e-02
3.820000e+01,2.492200e-02
3.825000e+01,2.494100e-02
3.830000e+01,2.496100e-02
3.835000e+01,2.498000e-02
3.840000e+01,2.500000e-02
3.845000e+01,2.502000e-02
3.850000e+01,2.503900e-02
3.855000e+01,2.505900e-02
3.860000e+01,2.507800e-02
3.865000e+01,2.509800e-02
3.870000e+01,2.511700e-02
3.875000e+01,2.513700e-02
3.880000e+01,2.515600e-02
3.885000e+01,2.517600e-02
3.890000e+01,2.519500e-02
3.895000e+01,2.521500e-02
3.900000e+01,2.523400e-02
3.905000e+01,2.525400e-02
3.910000e+01,2.527300e-02
3.915000e+01,2.529300e-02
3.920000e+01,2.531200e-02
3.925000e+01,2.533200e-02
3.930000e+01,2.535200e-02
3.935000e+01,2.537100e-02
3.940000e+01,2.539100e-02
3.945000e+01,2.541000e-02
3.950000e+01,2.543000e-02
3.955000e+01,2.544900e-02
3.960000e+01,2.546900e-02
3.965000e+01,2.548800e-02
3.970000e+01,2.550800e-02
3.975000e+01,2.552700e-02
3.980000e+01,2.554700e-02
3.985000e+01,2.556600e-02
3.990000e+01,2.558600e-02
3.995000e+01,2.560500e-02
4.000000e+01,2.562500e-02
4.005000e+01,2.564500e-02
4.010000e+01,2.566400e-02
4.015000e+01,2.568400e-02
4.020000e+01,2.570300e-02
4.025000e+01,2.572300e-02
4.030000e+01,2.574200e-02
4.035000e+01,2.576200e-02
4.040000e+01,2.578100e-02
4.045000e+01,2.580100e-02
4.050000e+01,2.582000e-02
4.055000e+01,2.584000e-02
4.060000e+01,2.585900e-02
4.065000e+01,2.587900e-02
4.070000e+01,2.589800e-02
4.075000e+01,2.591800e-02
4.080000e+01,2.593700e-02
4.085000e+01,2.595700e-02
4.090000e+01,2.597700e-02
4.095000e+01,2.599600e-02
4.100000e+01,2.601600e-02
4.105000e+01,2.603500e-02
4.110000e+01,2.605500e-02
4.115000e+01,2.607400e-02
4.120000e+01,2.609400e-02
4.125000e+01,2.611300e-02
4.130000e+01,2.613300e-02
4.135000e+01,2.615200e-02
4.140000e+01,2.617200e-02
4.145000e+01,2.619100e-02
4.150000e+01,2.621100e-02
4.155000e+01,2.623000e-02
4.160000e+01,2.625000e-02
4.165000e+01,2.627000e-02
4.170000e+01,2.628900e-02
4.175000e+01,2.630900e-02
4.180000e+01,2.632800e-02
4.185000e+01,2.634800e-02
4.190000e+01,2.636700e-02
4.195000e+01,2.638700e-02
4.200000e+01,2.640600e-02
4.205000e+01,2.642600e-02
4.210000e+01,2.644500e-02
4.215000e+01,2.646500e-02
4.220000e+01,2.648400e-02
4.225000e+01,2.650400e-02
4.230000e+01,2.652300e-02
4.235000e+01,2.654300e-02
4.240000e+01,2.656200e-02
4.245000e+01,2.658200e-02
4.250000e+01,2.660200e-02
4.255000e+01,2.662100e-02
4.260000e+01,2.664100e-02
4.265000e+01,2.666000e-02
4.270000e+01,2.668000e-02
4.275000e+01,2.669900e-02
4.280000e+01,2.671900e-02
4.285000e+01,2.673800e-02
4.290000e+01,2.675800e-02
4.295000e+01,2.677700e-02
4.300000e+01,2.679700e-02
4.305000e+01,2.681600e-02
4.310000e+01,2.683600e-02
4.315000e+01,2.685500e-02
4.320000e+01,2.687500e-02
4.325000e+01,2.689500e-02
4.330000e+01,2.691400e-02
4.335000e+01,2.693400e-02
4.340000e+01,2.695300e-02
4.345000e+01,2.697300e-02
4.350000e+01,2.699200e-02
4.355000e+01,2.701200e-02
4.360000e+01,2.703100e-02
