x_position,intensity_no_detector,intensity_with_detector,intensity_slit1,intensity_slit2
56.32,0.002940722624500483,0.010519864109596062,0.007652726306554933,0.002867137803041129
56.4,0.0029723345964423036,0.01062669191538259,0.007732554009985529,0.00289413790539706
56.480000000000004,0.003004334719463642,0.010734736121040513,0.007813322395238192,0.002921413725802321
56.56,0.0030367285927310338,0.010844012730942688,0.00789504434778069,0.002948968383161998
56.64,0.0030695219118565334,0.010954537998666993,0.00797773296239714,0.0029768050362698525
56.72,0.0031027204708813125,0.011066328431635375,0.008061401547241734,0.003004926884393641
56.800000000000004,0.0031363301643067302,0.011179400795855722,0.00814606362798535,0.0030333371678703726
56.88,0.0031703569891756334,0.011293772120769095,0.008231732952057444,0.003062039168711651
56.96,0.0032048070472039053,0.01140945970420518,0.008318423492985848,0.0030910362112193312
57.04,0.0032396865469642355,0.011526481117448677,0.008406149454837012,0.0031203316626116657
57.120000000000005,0.003275001806124236,0.011644854210419619,0.008494925276759463,0.0031499289336601568
57.2,0.0033107592537392288,0.011764597116970553,0.008584765637633218,0.003179831479337334
57.28,0.0033469654326019364,0.01188572826030382,0.008675685460828163,0.0032100427994756577
57.36,0.003383627001651248,0.012008266358511956,0.008767699919074168,0.0032405664394377894
57.44,0.003420750738440315,0.0121322304302446,0.008860824439446186,0.0032714059907984136
57.52,0.0034583435416673724,0.012257639800505284,0.008955074708467388,0.0033025650920378963
57.6,0.003496412433769655,0.012384514106581548,0.009050466677333585,0.003334047429247964
57.68,0.0035349645635831956,0.01251287330411212,0.009147016567262434,0.003365856736849686
57.76,0.003574007209070222,0.0126427376732947,0.009244740874970726,0.003397996798323975
57.84,0.0036135477801158486,0.012774127825238301,0.00934365637828342,0.00343047144695488
57.92,0.003653593821396079,0.012907064708463986,0.009443780141878091,0.0034632845665858946
58.0,0.0036941530153202055,0.01304156961555831,0.009545129523168695,0.003496440092389615
58.08,0.003735233185048365,0.013177664189983358,0.009647722178332442,0.003529942011650915
58.160000000000004,0.003776842297587322,0.013315370433047941,0.009751576068483906,0.003563794364564036
58.24,0.003818988466967059,0.013454710711044326,0.009856709466000608,0.0035980012450437184
58.32,0.0038616799575000357,0.013595707762555231,0.009963140961004372,0.0036325668015508585
58.4,0.003904925187125584,0.013738384705935712,0.010070889468002905,0.0036674952379328065
58.480000000000004,0.003948732730842897,0.01388276504697492,0.010179974232696228,0.003702790814278692
58.56,0.003993111324234075,0.014028872686742883,0.01029041483895277,0.0037384578477901134
58.64,0.004038069867080885,0.014176731929627467,0.01040223121596004,0.0037745007136674277
58.72,0.004083617427078107,0.014326367491567016,0.010515443645554963,0.003810923846012053
58.800000000000004,0.0041297632436454075,0.014477804508484194,0.010630072769739169,0.0038477317387450253
58.88,0.0041765167318425665,0.0146310685449268,0.01074613959838458,0.0038849289465422206
58.96,0.004223887486389568,0.014786185602921796,0.010863665517135204,0.003922520085786592
59.04,0.00427188528579547,0.014943182131048213,0.010982672295510535,0.003960509835537678
59.120000000000005,0.004320520096600323,0.015102085033735915,0.011103182095217004,0.00399890293851891
59.2,0.004369802077732139,0.01526292168079625,0.011225217478673334,0.004037704202122915
59.28,0.004419741584983371,0.015425719917191928,0.011348801417756568,0.004076918499435359
59.36,0.004470349175611454,0.01559050807305279,0.011473957302775189,0.004116550770277602
59.44,0.004521635613065452,0.01575731497394491,0.011600708951676295,0.004156606022268614
59.52,0.0045736118718450024,0.015926169951400598,0.01172908061949401,0.0041970893319065875
59.6,0.004626289142494063,0.016097102853717057,0.01185909700804646,0.004238005845670598
59.68,0.004679678836734848,0.0162701440570318,0.011990783275888964,0.004279360781142836
59.76,0.004733792592746442,0.0164453244766831,0.012124165048531348,0.004321159428151752
59.84,0.004788642280592252,0.01662267557886422,0.01225926842892757,0.00436340714993665
59.92,0.004844240007801295,0.016802229392580248,0.012396120008246104,0.004406109384334145
60.0,0.004900598125109496,0.01698401852191695,0.012534746876929972,0.00444927164498698
60.08,0.004957729232364506,0.017168076158631067,0.012675176636055375,0.0044928995225756935
60.160000000000004,0.00501564618460058,0.017354436095072073,0.012817437408998466,0.004536998686073606
60.24,0.005074362098289249,0.017543132737445552,0.012961557853419884,0.0045815748840256675
60.32,0.005133890357771285,0.017734201119429138,0.01310756717357743,0.004626633945851706
60.4,0.00519424462187573,0.017927676916151637,0.013255495132977097,0.004672181783174541
60.480000000000004,0.005255438830733629,0.01812359645854709,0.013405372067373475,0.004718224391173617
60.56,0.005317487212791187,0.018321996748095353,0.013557228898130746,0.004764767849964607
60.64,0.005380404292031082,0.018522915471961818,0.013711097145956115,0.0048118183260057006
60.72,0.0054442048954075955,0.018726391018548606,0.013867008945017578,0.004859382073531027
60.800000000000004,0.005508904160503699,0.018932462493470664,0.014024997057458743,0.0049074654360119225
60.88,0.005574517543417526,0.019141169735970368,0.014185094888323733,0.004956074847646635
60.96,0.005641060826886298,0.01935255333578495,0.014347336500905849,0.005005216834879103
61.04,0.0057085501286558635,0.01956665465048118,0.014511756632533701,0.005054898017947476
61.120000000000005,0.0057770019101046465,0.01978351582327297,0.014678390710809919,0.00510512511246305
61.2,0.005846432985130747,0.020003179801337253,0.014847274870316996,0.005155904931020258
61.28,0.005916860529311819,0.020225690354645262,0.015018445969806697,0.005207244384838565
61.36,0.005988302089347062,0.02045109209532549,0.015191941609888675,0.005259150485436817
61.44,0.006060775592791773,0.02067943049757675,0.015367800151235823,0.005311630346340924
61.52,0.006134299358094734,0.02091075191814937,0.015546060733323784,0.0053646911848255876
61.6,0.006208892104949399,0.021145103617413626,0.01572676329372278,0.005418340323690844
61.68,0.00628457296497044,0.021382533781035707,0.015909948587961378,0.005472585193074329
61.76,0.0063613614927072615,0.021623091542281217,0.016095658209981285,0.0055274333322999315
61.84,0.006439277677006996,0.021866827004968226,0.01628393461320436,0.005582892391763869
61.92,0.006518341952739792,0.022113791267091783,0.01647482113223292,0.005638970134858864
62.0,0.006598575212899848,0.02236403644514349,0.016668362005205942,0.005695674439937547
62.08,0.006679998821096067,0.022617615699149763,0.016864602396833975,0.005753013302315787
62.160000000000004,0.006762634624446976,0.02287458325845424,0.0170635884221372,0.005810994836317038
62.24,0.006846504966895045,0.02313499444827021,0.0172653671709116,0.005869627277358609
62.32,0.006931632702956306,0.023398905717030426,0.01746998673294952,0.005928918984080904
62.4,0.007018041211921692,0.023666374664562326,0.017677496224041706,0.005988878440520619
62.480000000000004,0.0071057544125273904,0.023937460071118185,0.01788794581278924,0.006049514258328943
62.56,0.007194796778112087,0.02421222192729071,0.01810138674825483,0.006110835179035878
62.64,0.0072851933522801015,0.02449072146484632,0.018317871388484515,0.006172850076361807
62.72,0.00737696976508965,0.024773021188508833,0.01853745322993146,0.006235567958577371
62.800000000000004,0.007470152249786978,0.02505918490872843,0.01876018693781551,0.00629899797091292
62.88,0.00756476766010754,0.025349277775471905,0.018986128377453237,0.00636314939801867
62.96,0.007660843488166679,0.025643366313072034,0.01921533464659511,0.006428031666476922
63.04,0.007758407882962937,0.025941518456174602,0.01944786410880716,0.006493654347367441
63.120000000000005,0.007857489669518524,0.026243803586824738,0.019683776427937234,0.006560027158887502
63.2,0.007958118368682269,0.02655029257273447,0.019923132603706695,0.006627159969027776
63.28,0.00806032421762181,0.026861057806776507,0.020165995008470914,0.006695062798305594
63.36,0.008164138191032755,0.027176173247750283,0.020412427425193377,0.006763745822556907
63.440000000000005,0.00826959202309395,0.027495714462468845,0.02066249508668037,0.0068332193757884765
63.52,0.008376718230199339,0.027819758669216883,0.02091626471612515,0.006903493953091733
63.6,0.008485550134498424,0.028148384782633235,0.021173804569013285,0.006974580213619951
63.68,0.008596121888278452,0.02848167346007232,0.021435184476442066,0.007046488983630254
63.76,0.008708468499223505,0.02881970714950252,0.02170047588991039,0.0071192312595921335
63.84,0.008822625856587,0.029162570139001604,0.02196975192763744,0.007192818211364162
63.92,0.008938630758315934,0.0295103486079119,0.022243087422471264,0.007267261185440634
64.0,0.009056520939167197,0.029863130679721468,0.022520558971451523,0.007342571708269947
64.08,0.009176335099857848,0.03022100647673946,0.022802244987092907,0.007418761489646553
64.16,0.009298112937293669,0.030584068176637957,0.023088225750459598,0.007495842426178359
64.24,0.00942189517592232,0.03095241007093563,0.023378583466104066,0.007573826604831562
64.32000000000001,0.009547723600259513,0.03132612862550172,0.023673402318946782,0.007652726306554939
64.4,0.009675641088639324,0.03170532254316292,0.023972768533177383,0.007732554009985537
64.48,0.009805691648242182,0.032090092828500075,0.024276770433261884,0.007813322395238192
64.56,0.009937920451456382,0.03248054285492402,0.024585498507143335,0.00789504434778069
64.64,0.010072373873632526,0.03287677843412663,0.024899045471729494,0.00797773296239714
64.72,0.010209099532292414,0.033278907888005325,0.02521750634076359,0.008061401547241734
64.8,0.010348146327857851,0.03368704212316609,0.025540978495180746,0.008146063627985341
64.88,0.010489564485967476,0.03410129470811363,0.02586956175605619,0.008231732952057435
64.96000000000001,0.010633405601453738,0.03452178195324354,0.026203358460257682,0.008318423492985859
65.04,0.010779722684055418,0.0349486229937562,0.02654247353891918,0.008406149454837017
65.12,0.010928570205945719,0.035381939875619814,0.026887014598860354,0.008494925276759463
65.2,0.011080004151158921,0.03582185764471321,0.027237092007079997,0.008584765637633218
65.28,0.011234082067004594,0.036268504439289154,0.027592818978460994,0.008675685460828163
65.36,0.011390863117561302,0.03672201158590347,0.027954311666829303,0.008767699919074168
65.44,0.011550408139348139,0.03718251369896382,0.028321689259517634,0.008860824439446186
65.52,0.011712779699276948,0.03765014878405945,0.02869507407559207,0.008955074708467379
65.6,0.011878042154993582,0.03812505834524199,0.029074591667908416,0.009050466677333573
65.68,0.012046261717722506,0.03860738749643553,0.02946037092917309,0.009147016567262441
65.76,0.012217506517736215,0.039097285077163785,0.029852544202193045,0.00924474087497074
65.84,0.01239184667257549,0.039594903772793136,0.030251247394509715,0.00934365637828342
65.92,0.012569354358155838,0.040100400239498284,0.030656620097620192,0.009443780141878091
66.0,0.012750103882901853,0.04061393523417113,0.031068805711002435,0.009545129523168695
66.08,0.012934171765058797,0.041135673749503485,0.03148795157117104,0.009647722178332442
66.16,0.013121636813339874,0.041665785154487225,0.03191420908600333,0.009751576068483895
66.24,0.013312580211076862,0.04220444334058925,0.032347733874588655,0.009856709466000597
66.32000000000001,0.013507085604050442,0.04275182687387154,0.03278868591286715,0.009963140961004386
66.4,0.01370523919218667,0.04330811915334252,0.033237229685339605,0.010070889468002914
66.48,0.013907129825319272,0.04387350857584239,0.03369353434314617,0.010179974232696228
66.56,0.014112849103225062,0.04444818870777953,0.03415777386882676,0.01029041483895277
66.64,0.014322491480155287,0.04503235846405588,0.03463012724809584,0.01040223121596004
66.72,0.014536154374097793,0.04562622229453695,0.03511077864898199,0.010515443645554963
66.8,0.014753938281018666,0.046229990378442234,0.03559991760870308,0.010630072769739155
66.88,0.014975946894346233,0.04684387882705429,0.03609773922866972,0.010746139598384575
66.96000000000001,0.015202287229979225,0.047468109895167324,0.03660444437803211,0.010863665517135211
67.04,0.015433069757113577,0.048102912201720124,0.03712023990620958,0.010982672295510549
67.12,0.015668408535204726,0.048748520960087305,0.0376453388648703,0.011103182095217004
67.2,0.015908421357398235,0.04940517821852583,0.0381799607398525,0.011225217478673334
67.28,0.016153229900785878,0.050073133111308676,0.038724331693552105,0.011348801417756568
67.36,0.01640295988386251,0.050752642121106736,0.03927868481833155,0.011473957302775189
67.44,0.01665774123158701,0.05144396935321444,0.03984326040153815,0.011600708951676295
67.52,0.016917708248473728,0.05214738682225184,0.040418306202757846,0.011729080619493997
67.6,0.017182999800168127,0.0528631747520143,0.041004077743967846,0.011859097008046451
