t,E_sum_sq,rel_drift
3.025000000000000355e+00,2.214844633443921751e+01,2.994489558524199573e-04
3.050000000000000266e+00,2.214845963719230681e+01,3.000497535961486862e-04
3.075000000000000178e+00,2.214847126186297999e+01,3.005747634091659732e-04
3.100000000000000089e+00,2.214848140549936417e+01,3.010328846575955654e-04
3.125000000000000000e+00,2.214849024406182565e+01,3.014320643122889707e-04
3.150000000000000355e+00,2.214849793440235004e+01,3.017793863443933382e-04
3.175000000000000266e+00,2.214850461609447407e+01,3.020811543713167787e-04
3.200000000000000178e+00,2.214851041312050128e+01,3.023429678571496089e-04
3.225000000000000089e+00,2.214851543542281931e+01,3.025697921754494607e-04
3.250000000000000000e+00,2.214851978032634960e+01,3.027660228519264002e-04
3.275000000000000355e+00,2.214852353383957961e+01,3.029355443234974616e-04
3.300000000000000266e+00,2.214852677184147467e+01,3.030817835432799757e-04
3.325000000000000178e+00,2.214852956116160243e+01,3.032077587626985041e-04
3.350000000000000089e+00,2.214853196056063567e+01,3.033161238143382656e-04
3.375000000000000000e+00,2.214853402161846319e+01,3.034092082220660896e-04
3.400000000000000355e+00,2.214853578953656310e+01,3.034890534389468380e-04
3.425000000000000266e+00,2.214853730386136377e+01,3.035574455166923117e-04
3.450000000000000178e+00,2.214853859913489131e+01,3.036159444911254186e-04
3.475000000000000089e+00,2.214853970547872919e+01,3.036659107557867056e-04
3.500000000000000000e+00,2.214854064911691722e+01,3.037085286778409528e-04
3.525000000000000355e+00,2.214854145284327558e+01,3.037448277040225063e-04
3.550000000000000266e+00,2.214854213643811320e+01,3.037757011806113466e-04
3.575000000000000178e+00,2.214854271703901745e+01,3.038019230995580829e-04
3.600000000000000089e+00,2.214854320947014443e+01,3.038241629703613915e-04
3.625000000000000000e+00,2.214854362653407094e+01,3.038429990010952492e-04
3.650000000000000355e+00,2.214854397926986707e+01,3.038589297538517114e-04
3.675000000000000266e+00,2.214854427718095309e+01,3.038723844355339780e-04
3.700000000000000178e+00,2.214854452843577448e+01,3.038837319610258794e-04
3.725000000000000089e+00,2.214854474004430429e+01,3.038932889246416026e-04
3.750000000000000000e+00,2.214854491801287395e+01,3.039013265928135871e-04
3.775000000000000355e+00,2.214854506747983365e+01,3.039080770309782534e-04
3.800000000000000266e+00,2.214854519283411705e+01,3.039137384583629831e-04
3.825000000000000178e+00,2.214854529781870340e+01,3.039184799206893161e-04
3.850000000000000089e+00,2.214854538562074282e+01,3.039224453605364083e-04
3.875000000000000000e+00,2.214854545894989357e+01,3.039257571553224632e-04
3.900000000000000355e+00,2.214854552010630684e+01,3.039285191877272286e-04
3.925000000000000266e+00,2.214854557103948807e+01,3.039308195040720775e-04
3.950000000000000178e+00,2.214854561339924288e+01,3.039327326152113109e-04
3.975000000000000089e+00,2.214854564857957087e+01,3.039343214789250853e-04
4.000000000000000000e+00,2.214854567775657657e+01,3.039356392121097530e-04
4.025000000000000355e+00,2.214854570192097327e+01,3.039367305587597394e-04
