x,p_initial,p_final
8.080000,1.4643270962e-03,2.6060867518e-03
8.100000,1.4018694669e-03,2.8643923382e-03
8.120000,1.3249431914e-03,3.0683293889e-03
8.140000,1.2374897938e-03,3.2162952970e-03
8.160000,1.1430999502e-03,3.3087625114e-03
8.180000,1.0449591430e-03,3.3479719328e-03
8.200000,9.4581728802e-04,3.3376022885e-03
8.220000,8.4797914299e-04,3.2824378795e-03
8.240000,7.5331204675e-04,3.1880460378e-03
8.260000,6.6326747593e-04,3.0604709684e-03
8.280000,5.7891300395e-04,2.9059617679e-03
8.300000,5.0097147221e-04,2.7307284124e-03
8.320000,4.2986450320e-04,2.5407435733e-03
8.340000,3.6575786764e-04,2.3415786775e-03
8.360000,3.0860663237e-04,2.1382845461e-03
8.380000,2.5819843879e-04,1.9353080030e-03
8.400000,2.1419367103e-04,1.7364437691e-03
8.420000,1.7616165337e-04,1.5448196060e-03
8.440000,1.4361235570e-04,1.3629043639e-03
8.460000,1.1602337725e-04,1.1925420789e-03
8.480000,9.2862218277e-05,1.0349977504e-03
8.500000,7.3604037819e-05,8.9101933217e-04
8.520000,5.7745233944e-05,7.6090343633e-04
8.540000,4.4813276956e-05,6.4456692989e-04
8.560000,3.4373279971e-05,5.4161734595e-04
8.580000,2.6031812389e-05,4.5142065229e-04
8.600000,1.9438456083e-05,3.7316527024e-04
8.620000,1.4285578116e-05,3.0591817984e-04
8.640000,1.0306753351e-05,2.4867603314e-04
8.660000,7.2742207372e-06,2.0040640986e-04
8.680000,4.9957027023e-06,1.6008355571e-04
8.700000,3.3108617552e-06,1.2671494587e-04
8.720000,2.0876147508e-06,9.9362389729e-05
8.740000,1.2184754921e-06,7.7156100312e-05
8.760000,6.1705170256e-07,5.9303852458e-05
8.780000,2.1478370083e-07,4.5095591041e-05
8.800000,-4.2020376010e-08,3.3904092491e-05
8.820000,-1.9482432616e-07,2.5183235936e-05
8.840000,-2.7517076984e-07,1.8463542753e-05
8.860000,-3.0666277258e-07,1.3346857241e-05
8.880000,-3.0663874311e-07,9.4995071016e-06
8.900000,-2.8756627706e-07,6.6455102663e-06
8.920000,-2.5818465766e-07,4.5592737986e-06
8.940000,-2.2442734050e-07,3.0587821830e-06
8.960000,-1.9015554315e-07,1.9989798870e-06
8.980000,-1.5773255898e-07,1.2657951637e-06
9.000000,-1.2846605779e-07,7.7073245404e-07
