t,E_sum_sq,rel_drift
8.192500000000001137e+01,9.974568483977797355e-07,2.580921178466973887e-01
8.195000000000000284e+01,1.036485665359468643e-06,3.073191566577044842e-01
8.197500000000000853e+01,1.071144942005374823e-06,3.510348951666183437e-01
8.200000000000000000e+01,1.051049228507667116e-06,3.256881758628383805e-01
8.202500000000000568e+01,9.982913713601789212e-07,2.591447014876268051e-01
8.205000000000001137e+01,9.800892695440906396e-07,2.361863942086221968e-01
8.207500000000000284e+01,1.020001502551734945e-06,2.865276854967976350e-01
8.210000000000000853e+01,1.066332737389234214e-06,3.449652624734779183e-01
8.212500000000000000e+01,1.060044960063099773e-06,3.370344902245412388e-01
8.215000000000000568e+01,1.011464647193221928e-06,2.757601515879428145e-01
8.217500000000001137e+01,9.843529340452025473e-07,2.415641533674349473e-01
8.220000000000000284e+01,1.010831352063823231e-06,2.749613765714125080e-01
8.222500000000000853e+01,1.051818953391917769e-06,3.266590297011189303e-01
8.225000000000000000e+01,1.053307338684510067e-06,3.285363297647128089e-01
8.227500000000000568e+01,1.018898467930337945e-06,2.851364281555696101e-01
8.230000000000001137e+01,1.000372815456132693e-06,2.617700264979912483e-01
8.232500000000000284e+01,1.023042254629406842e-06,2.903629854673076549e-01
8.235000000000000853e+01,1.051300487442560067e-06,3.260050887057699964e-01
8.237500000000000000e+01,1.041207613607541860e-06,3.132749490123546421e-01
8.240000000000000568e+01,1.004578547857932445e-06,2.670747159118501135e-01
8.242500000000001137e+01,9.934225579525280112e-07,2.530036681373909468e-01
8.245000000000000284e+01,1.025881596642655482e-06,2.939442469649624634e-01
8.247500000000000853e+01,1.058057693750171377e-06,3.345279516325475044e-01
8.250000000000000000e+01,1.043375568584594962e-06,3.160093901792664917e-01
8.252500000000000568e+01,9.985400096525436206e-07,2.594583089146762500e-01
8.255000000000001137e+01,9.834837908741115846e-07,2.404679032643991521e-01
8.257500000000000284e+01,1.020339199682662388e-06,2.869536228186193583e-01
8.260000000000000853e+01,1.061946064889445124e-06,3.394323533512191848e-01
8.262500000000000000e+01,1.054407589584932491e-06,3.299240759992478345e-01
8.265000000000000568e+01,1.009558954592762139e-06,2.733565019027174303e-01
8.267500000000001137e+01,9.885786601607713384e-07,2.468940608483607968e-01
8.270000000000000284e+01,1.018814869167837814e-06,2.850309850536127954e-01
8.272500000000000853e+01,1.057330670490810383e-06,3.336109573449625443e-01
8.275000000000000000e+01,1.050900396471772921e-06,3.255004540465589735e-01
8.277500000000000568e+01,1.009889985170607309e-06,2.737740307025068320e-01
8.280000000000001137e+01,9.940387724215422168e-07,2.537808993204893615e-01
8.282500000000000284e+01,1.029033475867073114e-06,2.979197115828194908e-01
8.285000000000000853e+01,1.068697243759463808e-06,3.479476138722001344e-01
8.287500000000000000e+01,1.056407045212955090e-06,3.324459889718642258e-01
8.290000000000000568e+01,1.003462876445666614e-06,2.656675197888968554e-01
8.292500000000001137e+01,9.771133542046796715e-07,2.324328728027528768e-01
8.295000000000000284e+01,1.012235057121854828e-06,2.767318694725618977e-01
8.297500000000000853e+01,1.064419826541514571e-06,3.425525084144674381e-01
8.300000000000000000e+01,1.067625795510459990e-06,3.465961964159787190e-01
8.302500000000000568e+01,1.019945314259486869e-06,2.864568152153352254e-01
8.305000000000001137e+01,9.842727286657208941e-07,2.414629903387817966e-01
8.307500000000000284e+01,1.004978759071091940e-06,2.675795022327406847e-01
8.310000000000000853e+01,1.052267004591378521e-06,3.272241565868972968e-01
8.312500000000000000e+01,1.065584024834831731e-06,3.440209114825155678e-01
8.315000000000000568e+01,1.034030016615946061e-06,3.042218474022830854e-01
8.317500000000001137e+01,1.005796588379954712e-06,2.686110301718961368e-01
8.320000000000000284e+01,1.018410380946589627e-06,2.845208041432991108e-01
8.322500000000000853e+01,1.048041889256881353e-06,3.218950194840115020e-01
8.325000000000000000e+01,1.045935974990025305e-06,3.192388302521181331e-01
8.327500000000000568e+01,1.008704880773014861e-06,2.722792587694337629e-01
8.330000000000001137e+01,9.842669172299175629e-07,2.414556603759976383e-01
8.332500000000000284e+01,1.005744224753616094e-06,2.685449839407590966e-01
8.335000000000000853e+01,1.044994151088229717e-06,3.180509079583848653e-01
8.337500000000000000e+01,1.049803488136177107e-06,3.241169237883526622e-01
8.340000000000000568e+01,1.014019043788808848e-06,2.789820114888743596e-01
8.342500000000001137e+01,9.856353060404171261e-07,2.431816089013944804e-01
8.345000000000000284e+01,1.002871192945362741e-06,2.649212295115901394e-01
8.347500000000000853e+01,1.044937195049431441e-06,3.179790693183565109e-01
8.350000000000000000e+01,1.061956722069797297e-06,3.394457952506066967e-01
8.352500000000000568e+01,1.040745332931151319e-06,3.126918744902497660e-01
8.355000000000001137e+01,1.017544747394062603e-06,2.834289807214365742e-01
8.357500000000000284e+01,1.024383418261665712e-06,2.920545948809858960e-01
8.360000000000000853e+01,1.045817071290402275e-06,3.190888570402254931e-01
8.362500000000000000e+01,1.044763123007212160e-06,3.177595122872876043e-01
8.365000000000000568e+01,1.018403347431921825e-06,2.845119327726944314e-01
8.367500000000001137e+01,1.004091824280389332e-06,2.664608115635459518e-01
8.370000000000000284e+01,1.026231676386962492e-06,2.943858024744944180e-01
8.372500000000000853e+01,1.058476131379770220e-06,3.350557269287464113e-01
8.375000000000000000e+01,1.055838846344810390e-06,3.317293198562724088e-01
8.377500000000000568e+01,1.015420719153261649e-06,2.807499443379299908e-01
8.380000000000001137e+01,9.837157128801051698e-07,2.407604264428849505e-01
8.382500000000000284e+01,9.987044059885811068e-07,2.596656619795270071e-01
8.385000000000000853e+01,1.041689974676341797e-06,3.138833509292777713e-01
8.387500000000000000e+01,1.061161653696021817e-06,3.384429756741980655e-01
8.390000000000000568e+01,1.036866601160937158e-06,3.077996309057914881e-01
8.392500000000001137e+01,1.001838168456000241e-06,2.636182759355059080e-01
8.395000000000000284e+01,9.974431773438735657e-07,2.580748745492157936e-01
8.397500000000000853e+01,1.022700091699521926e-06,2.899314154341788852e-01
8.400000000000000000e+01,1.041632362998375906e-06,3.138106853317020328e-01
8.402500000000000568e+01,1.033369934153190693e-06,3.033892855276963951e-01
8.405000000000001137e+01,1.016611566659532211e-06,2.822519600527982342e-01
8.407500000000000284e+01,1.019504163981681226e-06,2.859003924606219327e-01
8.410000000000000853e+01,1.039719912003589084e-06,3.113985112851012094e-01
8.412500000000000000e+01,1.048844279106087301e-06,3.229070736358755633e-01
8.415000000000000568e+01,1.032608884101503037e-06,3.024293732539443669e-01
8.417500000000001137e+01,1.011129260787530144e-06,2.753371287833858427e-01
8.420000000000000284e+01,1.012454081642816716e-06,2.770081250558283914e-01
8.422500000000000853e+01,1.035556266327582208e-06,3.061469058498335616e-01
8.425000000000000000e+01,1.051376102578106899e-06,3.261004620606917648e-01
8.427500000000000568e+01,1.039460939936786077e-06,3.110718698704769691e-01
8.430000000000001137e+01,1.012709776017142202e-06,2.773306323176045196e-01
8.432500000000000284e+01,1.000472227088407095e-06,2.618954143693438819e-01
8.435000000000000853e+01,1.013517506828862070e-06,2.783494230243895307e-01
8.437500000000000000e+01,1.033974376312317544e-06,3.041516682987538411e-01
8.440000000000000568e+01,1.038879098416572186e-06,3.103379932806346053e-01
8.442500000000001137e+01,1.025667197229478902e-06,2.936738250291948127e-01
8.445000000000000284e+01,1.010760154814999229e-06,2.748715754961061353e-01
8.447500000000000853e+01,1.008233493906876236e-06,2.716846986120715068e-01
8.450000000000000000e+01,1.016516633378018749e-06,2.821322207243397995e-01
8.452500000000000568e+01,1.025497253257009548e-06,2.934594747316529584e-01
8.455000000000001137e+01,1.030140429871239990e-06,2.993159124407295257e-01
8.457500000000000284e+01,1.033035311812991727e-06,3.029672264387884839e-01
8.460000000000000853e+01,1.036400372873715771e-06,3.072115772629571140e-01
8.462500000000000000e+01,1.037222571008222601e-06,3.082486156009993650e-01
8.465000000000000568e+01,1.032281219138796517e-06,3.020160895038375148e-01
8.467500000000001137e+01,1.025175954171595918e-06,2.930542202612670399e-01
8.470000000000000284e+01,1.024643808541877461e-06,2.923830250878911019e-01
8.472500000000000853e+01,1.034662958111570450e-06,3.050201763806065225e-01
8.475000000000000000e+01,1.047597852778847404e-06,3.213349563655435448e-01
8.477500000000000568e+01,1.049472356028703574e-06,3.236992669292638736e-01
8.480000000000001137e+01,1.033725986985317406e-06,3.038383748916675398e-01
8.482500000000000284e+01,1.009758238139001466e-06,2.736078581986243208e-01
8.485000000000000853e+01,9.961115514611543351e-07,2.563952950970712630e-01
8.487500000000000000e+01,1.003271806405910467e-06,2.654265231870288066e-01
8.490000000000000568e+01,1.023092046892605591e-06,2.904257884386449162e-01
8.492500000000001137e+01,1.036683576982678594e-06,3.075687825473764625e-01
8.495000000000000284e+01,1.033307751891893480e-06,3.033108550543044402e-01
8.497500000000000853e+01,1.020044456311020213e-06,2.865818630645545761e-01
8.500000000000000000e+01,1.012015255851210062e-06,2.764546341750800384e-01
8.502500000000000568e+01,1.015551889274065909e-06,2.809153891843370610e-01
8.505000000000001137e+01,1.024402163510606918e-06,2.920782382596221471e-01
8.507500000000000284e+01,1.031373383055421677e-06,3.008710360384918014e-01
8.510000000000000853e+01,1.037496469870752009e-06,3.085940841800050016e-01
8.512500000000000000e+01,1.045665497983158437e-06,3.188976776589562689e-01
8.515000000000000568e+01,1.049765053992884673e-06,3.240684468113184113e-01
8.517500000000001137e+01,1.039045084173400123e-06,3.105473510816016414e-01
8.520000000000000284e+01,1.015634659097468620e-06,2.810197867455807019e-01
8.522500000000000853e+01,9.998777535782920834e-07,2.611456050532359185e-01
8.525000000000000000e+01,1.009785779065706496e-06,2.736425955638160379e-01
8.527500000000000568e+01,1.036813506432432809e-06,3.077326625356431311e-01
8.530000000000001137e+01,1.051246346956464495e-06,3.259368013217868176e-01
8.532500000000000284e+01,1.035670432656773030e-06,3.062909038173738940e-01
8.535000000000000853e+01,1.006530955122790526e-06,2.695372867936783878e-01
8.537500000000000000e+01,9.951703648057499184e-07,2.552081765620802245e-01
8.540000000000000568e+01,1.010790858784336630e-06,2.749103024063198619e-01
8.542500000000001137e+01,1.032082798327755905e-06,3.017658213756593821e-01
8.545000000000000284e+01,1.037105530397258173e-06,3.081009923024488617e-01
8.547500000000000853e+01,1.030374706463160003e-06,2.996114054579602781e-01
8.550000000000000000e+01,1.031048363940938569e-06,3.004610894962052026e-01
8.552500000000000568e+01,1.041129108690779932e-06,3.131759307769803047e-01
8.555000000000001137e+01,1.041383574529472903e-06,3.134968884870156791e-01
8.557500000000000284e+01,1.022752449191933390e-06,2.899974539285948283e-01
8.560000000000000853e+01,1.006869299807070952e-06,2.699640408744111153e-01
8.562500000000000000e+01,1.020243619132605901e-06,2.868330670904806756e-01
8.565000000000000568e+01,1.053138336998547942e-06,3.283231679729488039e-01
8.567500000000001137e+01,1.063468986396559657e-06,3.413532139350907157e-01
8.570000000000000284e+01,1.029553389513919098e-06,2.985754785587128035e-01
8.572500000000000853e+01,9.845099698698483217e-07,2.417622226207803704e-01
8.575000000000000000e+01,9.806975063336562763e-07,2.369535631462720837e-01
8.577500000000000568e+01,1.023585923921077712e-06,2.910487154331353188e-01
8.580000000000001137e+01,1.061226676365110898e-06,3.385249887533540725e-01
8.582500000000000284e+01,1.048204590329848927e-06,3.221002343139006685e-01
8.585000000000000853e+01,1.004050144680426477e-06,2.664082410926804645e-01
8.587500000000000000e+01,9.885210872962341951e-07,2.468214442061547886e-01
8.590000000000000568e+01,1.023465391122824809e-06,2.908966874394757207e-01
8.592500000000001137e+01,1.063621621230058220e-06,3.415457322192068101e-01
8.595000000000000284e+01,1.056568867440932116e-06,3.326500953147474848e-01
8.597500000000000853e+01,1.013319594429491054e-06,2.780997961557457598e-01
8.600000000000000000e+01,9.943488588547766747e-07,2.541720112749865645e-01
8.602500000000000568e+01,1.027635242844666186e-06,2.961561205590786949e-01
8.605000000000001137e+01,1.068377295734346778e-06,3.475440634938885553e-01
8.607500000000000284e+01,1.057223998604891040e-06,3.334764121171799878e-01
8.610000000000000853e+01,1.001703384398901984e-06,2.634482728319941236e-01
8.612500000000000000e+01,9.707859506224715417e-07,2.244521199651760834e-01
8.615000000000000568e+01,1.005788665562360457e-06,2.686010371236930983e-01
8.617500000000001137e+01,1.063923470434646382e-06,3.419264545589056348e-01
8.620000000000000284e+01,1.071227271008178889e-06,3.511387367209315435e-01
8.622500000000000853e+01,1.018166283550171438e-06,2.842129241473735912e-01
8.625000000000000000e+01,9.731127201017053933e-07,2.273868738310425575e-01
8.627500000000000568e+01,9.949525235014736199e-07,2.549334133697759852e-01
8.630000000000001137e+01,1.057818413331706194e-06,3.342261472899238917e-01
8.632500000000000284e+01,1.084885767446553777e-06,3.683661954710106268e-01
8.635000000000000853e+01,1.045897358387686517e-06,3.191901231395262717e-01
8.637500000000000000e+01,9.921256482359512645e-07,2.513678761784656768e-01
8.640000000000000568e+01,9.872280201715525977e-07,2.451904989075970320e-01
8.642500000000001137e+01,1.027833967165565087e-06,2.964067715041786566e-01
8.645000000000000284e+01,1.055538491630877199e-06,3.313504825173294588e-01
8.647500000000000853e+01,1.037511252362847705e-06,3.086127293342466049e-01
8.650000000000000000e+01,1.005527337980134970e-06,2.682714246979506778e-01
8.652500000000000568e+01,1.005948431422019559e-06,2.688025497696396315e-01
8.655000000000001137e+01,1.034829917741279004e-06,3.052307625272376868e-01
8.657500000000000284e+01,1.047334685681182675e-06,3.210030237593556879e-01
8.660000000000000853e+01,1.024133029755886196e-06,2.917387799101160972e-01
8.662500000000000000e+01,9.995618101496062279e-07,2.607471056715798263e-01
8.665000000000000568e+01,1.012565618025342650e-06,2.771488058721809367e-01
8.667500000000001137e+01,1.050300853847596594e-06,3.247442510579274799e-01
8.670000000000000284e+01,1.063959148743605075e-06,3.419714556026612340e-01
8.672500000000000853e+01,1.035176734882596837e-06,3.056682029162900993e-01
8.675000000000000000e+01,1.001147971646323924e-06,2.627477308413381785e-01
8.677500000000000568e+01,1.004200632755598939e-06,2.665980516709611781e-01
8.680000000000001137e+01,1.035837336111702696e-06,3.065014191107680031e-01
8.682500000000000284e+01,1.051385851610289175e-06,3.261127585129792728e-01
8.685000000000000853e+01,1.032472572090502393e-06,3.022574429424895737e-01
