x,y,l_z_initial,l_z_final
-2.800000,3.100000,-5.2398830523e-04,-5.6048976812e-03
-2.700000,-3.200000,-5.5692054137e-04,-2.4673308776e-02
-2.700000,-3.100000,-5.4601474996e-04,1.8549330637e-02
-2.700000,-3.000000,-5.3559022063e-04,7.5465369544e-03
-2.700000,-2.900000,-5.2410148438e-04,1.5684369918e-02
-2.700000,-2.800000,-5.1152669220e-04,1.5449616020e-02
-2.700000,-2.700000,-4.9784889771e-04,-1.4246117237e-02
-2.700000,-2.600000,-4.8305716347e-04,-8.6990641731e-03
-2.700000,-2.500000,-4.6714780959e-04,1.3739936931e-02
-2.700000,-2.400000,-4.5012580645e-04,1.1506785311e-02
-2.700000,-2.300000,-4.3200630796e-04,-5.8319270125e-03
-2.700000,-2.200000,-4.1281631387e-04,-8.1916707283e-03
-2.700000,-2.100000,-3.9259643942e-04,-1.0873100061e-02
-2.700000,-2.000000,-3.7140275820e-04,-5.7880015393e-03
-2.700000,-1.900000,-3.4930866828e-04,-3.5863512657e-04
-2.700000,-1.800000,-3.2640671422e-04,-2.6164958881e-04
-2.700000,-1.700000,-3.0281027738e-04,-4.1032534602e-03
-2.700000,-1.600000,-2.7865502634e-04,-1.3651039595e-02
-2.700000,-1.500000,-2.5409999859e-04,-1.5205653772e-02
-2.700000,-1.400000,-2.2932816750e-04,-7.3468441494e-03
-2.700000,-1.300000,-2.0454633631e-04,-2.3360536339e-03
-2.700000,-1.200000,-1.7998419802e-04,-8.6229974186e-04
-2.700000,-1.100000,-1.5589241024e-04,-1.0300232826e-04
-2.700000,-1.000000,-1.3253955952e-04,-2.1868073368e-04
-2.700000,-0.900000,-1.1020793506e-04,-1.6654918529e-03
-2.700000,-0.800000,-8.9188096071e-05,-2.2637820440e-03
-2.700000,-0.700000,-6.9772300225e-05,-4.3337798683e-03
-2.700000,-0.600000,-5.2246957618e-05,-4.3512608185e-03
-2.700000,-0.500000,-3.6884377286e-05,-5.0342864939e-03
-2.700000,-0.400000,-2.3934171324e-05,-4.5174307830e-03
-2.700000,-0.300000,-1.3614761615e-05,-4.0767840572e-03
-2.700000,-0.200000,-6.1054833330e-06,-3.6754293673e-03
-2.700000,-0.100000,-1.5397869718e-06,-3.0504380272e-03
-2.700000,0.000000,0.0000000000e+00,-2.5522223157e-03
-2.700000,0.100000,-1.5140204707e-06,-2.2794357998e-03
-2.700000,0.200000,-6.0541847317e-06,-1.5147875815e-03
-2.700000,0.300000,-1.3538393364e-05,-1.2843009041e-03
-2.700000,0.400000,-2.3833411576e-05,-9.0314459895e-04
-2.700000,0.500000,-3.6760102222e-05,-8.0489833283e-05
-2.700000,0.600000,-5.2100219396e-05,-8.5897051566e-04
-2.700000,0.700000,-6.9604301637e-05,-2.1364819244e-04
-2.700000,0.800000,-8.9000163135e-05,-1.2220849067e-03
-2.700000,0.900000,-1.1000148872e-04,-1.4739298733e-03
-2.700000,1.000000,-1.3231608756e-04,-1.3239025941e-03
-2.700000,1.100000,-1.5565344040e-04,-9.4178276285e-04
-2.700000,1.200000,-1.7973127307e-04,-7.1539149859e-04
-2.700000,1.300000,-2.0428099164e-04,5.9065587770e-04
-2.700000,1.400000,-2.2905191164e-04,4.3868162789e-03
-2.700000,1.500000,-2.5381429679e-04,9.9602029930e-03
-2.700000,1.600000,-2.7836128726e-04,1.0070852439e-02
-2.700000,1.700000,-3.0250984275e-04,3.8979052220e-03
-2.700000,1.800000,-3.2610085128e-04,7.3015364079e-04
-2.700000,1.900000,-3.4899856473e-04,1.6742503209e-03
-2.700000,2.000000,-3.7108951926e-04,9.4966919044e-03
-2.700000,2.100000,-3.9228108684e-04,1.5542407008e-02
-2.700000,2.200000,-4.1249978638e-04,1.2021110111e-02
-2.700000,2.300000,-4.3168946304e-04,1.0253871235e-02
-2.700000,2.400000,-4.4980942296e-04,-7.4697922027e-03
-2.700000,2.500000,-4.6683259120e-04,-1.0521790393e-02
-2.700000,2.600000,-4.8274374250e-04,2.0643345625e-02
-2.700000,2.700000,-4.9753783935e-04,1.9670539332e-02
-2.700000,2.800000,-5.1121849889e-04,-4.4215312829e-03
-2.700000,2.900000,-5.2379660022e-04,-1.1341780950e-02
-2.700000,3.000000,-5.3528903583e-04,-2.4022927164e-03
-2.700000,3.100000,-5.4571760506e-04,-5.5780371356e-03
-2.600000,-3.200000,-5.7909532083e-04,-5.9449322567e-02
-2.600000,-3.100000,-5.6837553140e-04,-3.8823004234e-02
-2.600000,-3.000000,-5.5820101570e-04,1.0001533233e-03
-2.600000,-2.900000,-5.4691864325e-04,2.1843917461e-03
-2.600000,-2.800000,-5.3450011750e-04,-1.0488456777e-02
-2.600000,-2.700000,-5.2092158717e-04,7.6630070055e-03
-2.600000,-2.600000,-5.0616480085e-04,5.1614832601e-03
-2.600000,-2.500000,-4.9021843142e-04,-3.8743696977e-03
-2.600000,-2.400000,-4.7307957854e-04,2.0583335614e-03
-2.600000,-2.300000,-4.5475545190e-04,-3.4506482482e-03
-2.600000,-2.200000,-4.3526523019e-04,9.4970723820e-04
-2.600000,-2.100000,-4.1464208013e-04,8.4304387437e-03
-2.600000,-2.000000,-3.9293530585e-04,6.8316173946e-03
-2.600000,-1.900000,-3.7021258131e-04,-9.7358377294e-04
-2.600000,-1.800000,-3.4656219705e-04,-8.3818364202e-04
-2.600000,-1.700000,-3.2209522798e-04,7.8587911142e-04
-2.600000,-1.600000,-2.9694750127e-04,3.7441334975e-04
-2.600000,-1.500000,-2.7128121563e-04,5.9259967458e-04
-2.600000,-1.400000,-2.4528603628e-04,4.8566249578e-04
-2.600000,-1.300000,-2.1917946869e-04,-1.0737735390e-03
-2.600000,-1.200000,-1.9320630220e-04,-2.8213602765e-03
-2.600000,-1.100000,-1.6763691760e-04,-1.0798619883e-03
-2.600000,-1.000000,-1.4276427600e-04,2.5672126956e-04
-2.600000,-0.900000,-1.1889945375e-04,7.9271289086e-04
-2.600000,-0.800000,-9.6365663672e-05,7.2096299733e-04
-2.600000,-0.700000,-7.5490804976e-05,7.0699351377e-04
-2.600000,-0.600000,-5.6598708923e-05,2.8419410748e-04
-2.600000,-0.500000,-3.9999384492e-05,4.7919177076e-04
-2.600000,-0.400000,-2.5978703984e-05,4.3142577493e-04
-2.600000,-0.300000,-1.4788084143e-05,4.6322095248e-04
-2.600000,-0.200000,-6.6347953761e-06,6.5033008545e-04
-2.600000,-0.100000,-1.6735530424e-06,5.7968570205e-04
-2.600000,0.000000,0.0000000000e+00,7.7827845310e-04
-2.600000,0.100000,-1.6465769850e-06,7.9572507933e-04
-2.600000,0.200000,-6.5811057760e-06,9.8184152939e-04
-2.600000,0.300000,-1.4708198375e-05,1.1054475802e-03
