x,psi_1,psi_2,psi_3,psi_4,psi_5
3.6000000000e+01,1.5874782708e-01,-1.8913194036e-01,6.6583703582e-02,1.0980420853e-01,-1.9740428489e-01
3.6100000000e+01,1.5802242779e-01,-1.8982174848e-01,6.9997712780e-02,1.0573818885e-01,-1.9701391023e-01
3.6200000000e+01,1.5729107904e-01,-1.9048297014e-01,7.3388004204e-02,1.0160847644e-01,-1.9643811297e-01
3.6300000000e+01,1.5655380837e-01,-1.9111550577e-01,7.6753429101e-02,9.7417558877e-02,-1.9567743504e-01
3.6400000000e+01,1.5581064353e-01,-1.9171926010e-01,8.0092847141e-02,9.3167960621e-02,-1.9473259235e-01
3.6500000000e+01,1.5506161252e-01,-1.9229414222e-01,8.3405126808e-02,8.8862241470e-02,-1.9360447416e-01
3.6600000000e+01,1.5430674352e-01,-1.9284006555e-01,8.6689145782e-02,8.4502995028e-02,-1.9229414222e-01
3.6700000000e+01,1.5354606497e-01,-1.9335694787e-01,8.9943791317e-02,8.0092847141e-02,-1.9080282976e-01
3.6800000000e+01,1.5277960548e-01,-1.9384471135e-01,9.3167960621e-02,7.5634454318e-02,-1.8913194036e-01
3.6900000000e+01,1.5200739394e-01,-1.9430328253e-01,9.6360561228e-02,7.1130502128e-02,-1.8728304660e-01
3.7000000000e+01,1.5122945940e-01,-1.9473259235e-01,9.9520511368e-02,6.6583703582e-02,-1.8525788859e-01
3.7100000000e+01,1.5044583116e-01,-1.9513257616e-01,1.0264674034e-01,6.1996797504e-02,-1.8305837233e-01
3.7200000000e+01,1.4965653871e-01,-1.9550317371e-01,1.0573818885e-01,5.7372546873e-02,-1.8068656795e-01
3.7300000000e+01,1.4886161178e-01,-1.9584432921e-01,1.0879380942e-01,5.2713737165e-02,-1.7814470769e-01
3.7400000000e+01,1.4806108030e-01,-1.9615599128e-01,1.1181256668e-01,4.8023174673e-02,-1.7543518387e-01
3.7500000000e+01,1.4725497440e-01,-1.9643811297e-01,1.1479343778e-01,4.3303684816e-02,-1.7256054659e-01
3.7600000000e+01,1.4644332444e-01,-1.9669065181e-01,1.1773541267e-01,3.8558110439e-02,-1.6952350137e-01
3.7700000000e+01,1.4562616096e-01,-1.9691356975e-01,1.2063749453e-01,3.3789310098e-02,-1.6632690656e-01
3.7800000000e+01,1.4480351475e-01,-1.9710683324e-01,1.2349870001e-01,2.9000156340e-02,-1.6297377069e-01
3.7900000000e+01,1.4397541676e-01,-1.9727041316e-01,1.2631805963e-01,2.4193533972e-02,-1.5946724961e-01
3.8000000000e+01,1.4314189818e-01,-1.9740428489e-01,1.2909461809e-01,1.9372338324e-02,-1.5581064353e-01
3.8100000000e+01,1.4230299039e-01,-1.9750842826e-01,1.3182743460e-01,1.4539473503e-02,-1.5200739394e-01
3.8200000000e+01,1.4145872497e-01,-1.9758282758e-01,1.3451558318e-01,9.6978506476e-03,-1.4806108030e-01
