t,projection
2.53500000,4.8488804085e-01
2.53750000,4.7841503309e-01
2.54000000,4.7075545683e-01
2.54250000,4.6192830941e-01
2.54500000,4.5195548398e-01
2.54750000,4.4086171521e-01
2.55000000,4.2867451797e-01
2.55250000,4.1542411901e-01
2.55500000,4.0114338209e-01
2.55750000,3.8586772638e-01
2.56000000,3.6963503869e-01
2.56250000,3.5248557944e-01
2.56500000,3.3446188286e-01
2.56750000,3.1560865144e-01
2.57000000,2.9597264511e-01
2.57250000,2.7560256523e-01
2.57500000,2.5454893384e-01
2.57750000,2.3286396830e-01
2.58000000,2.1060145183e-01
2.58250000,1.8781660008e-01
2.58500000,1.6456592420e-01
2.58750000,1.4090709071e-01
2.59000000,1.1689877841e-01
2.59250000,9.2600532896e-02
2.59500000,6.8072618855e-02
2.59750000,4.3375870602e-02
2.60000000,1.8571541193e-02
2.60250000,-6.2788494886e-03
2.60500000,-3.1113667322e-02
2.60750000,-5.5871316807e-02
2.61000000,-8.0490393840e-02
2.61250000,-1.0490983800e-01
2.61500000,-1.2906908401e-01
2.61750000,-1.5290821192e-01
2.62000000,-1.7636809575e-01
2.62250000,-1.9939055013e-01
2.62500000,-2.2191847460e-01
2.62750000,-2.4389599522e-01
2.63000000,-2.6526860319e-01
2.63250000,-2.8598329001e-01
2.63500000,-3.0598867897e-01
2.63750000,-3.2523515253e-01
2.64000000,-3.4367497547e-01
2.64250000,-3.6126241320e-01
2.64500000,-3.7795384522e-01
2.64750000,-3.9370787332e-01
2.65000000,-4.0848542424e-01
2.65250000,-4.2224984659e-01
2.65500000,-4.3496700175e-01
2.65750000,-4.4660534854e-01
2.66000000,-4.5713602144e-01
2.66250000,-4.6653290221e-01
2.66500000,-4.7477268462e-01
2.66750000,-4.8183493231e-01
2.67000000,-4.8770212944e-01
2.67250000,-4.9235972414e-01
2.67500000,-4.9579616462e-01
2.67750000,-4.9800292779e-01
2.68000000,-4.9897454041e-01
2.68250000,-4.9870859269e-01
2.68500000,-4.9720574423e-01
2.68750000,-4.9446972241e-01
2.69000000,-4.9050731313e-01
2.69250000,-4.8532834399e-01
2.69500000,-4.7894565990e-01
2.69750000,-4.7137509124e-01
2.70000000,-4.6263541460e-01
2.70250000,-4.5274830619e-01
2.70500000,-4.4173828808e-01
2.70750000,-4.2963266740e-01
2.71000000,-4.1646146861e-01
2.71250000,-4.0225735900e-01
2.71500000,-3.8705556772e-01
2.71750000,-3.7089379836e-01
2.72000000,-3.5381213546e-01
2.72250000,-3.3585294508e-01
2.72500000,-3.1706076975e-01
2.72750000,-2.9748221796e-01
2.73000000,-2.7716584857e-01
2.73250000,-2.5616205039e-01
2.73500000,-2.3452291720e-01
2.73750000,-2.1230211854e-01
2.74000000,-1.8955476659e-01
2.74250000,-1.6633727952e-01
2.74500000,-1.4270724149e-01
2.74750000,-1.1872325991e-01
2.75000000,-9.4444820017e-02
2.75250000,-6.9932137387e-02
2.75500000,-4.5246008553e-02
2.75750000,-2.0447660234e-02
2.76000000,4.4014025230e-03
2.76250000,2.9239548889e-02
2.76500000,5.4005175110e-02
2.76750000,7.8636857296e-02
2.77000000,1.0307350377e-01
2.77250000,1.2725450657e-01
2.77500000,1.5111989181e-01
2.77750000,1.7461046838e-01
2.78000000,1.9766797477e-01
2.78250000,2.2023522359e-01
2.78500000,2.4225624338e-01
2.78750000,2.6367641744e-01
2.79000000,2.8444261931e-01
2.79250000,3.0450334448e-01
2.79500000,3.2380883822e-01
2.79750000,3.4231121888e-01
2.80000000,3.5996459672e-01
2.80250000,3.7672518771e-01
